BH,BJBM,GLZ,
20093005,09数控技术2,机械工程学院,
20093006,09数控设备,机械工程学院,
20093007,09焊接技术,机械工程学院,
20093001,09模具制造,机械工程学院,
2009802,09博萨班(5),机械工程学院,
2009803,09福田班(5),机械工程学院,
2006415,2006-15,汽车工程学院,
2006231,2006231,自动化工程学院,
2006251,2006251,自动化工程学院,
2007702,2007702,自动化工程学院,
2006308,数控06-3,机械工程学院,
2005302,机制05-2,机械工程学院,
2005305,数控05-1,机械工程学院,
2007303,数控07-1,机械工程学院,
20080029,08网络媒体,艺术设计学院,
2009601,09服饰(5),艺术设计学院,
2009602,09国商(5),艺术设计学院,
2009603,09装饰(5),艺术设计学院,
2009604,09多媒体(5),艺术设计学院,
2009605,09网络(5)3,艺术设计学院,
2009606,09金融(5),艺术设计学院,
2006425,2006-13,汽车工程学院,
20090031,09轨道交通2,自动化工程学院,
2009702,09数控(5)4,自动化工程学院,
2008401,2008汽制-1,汽车工程学院,
2008402,2008汽修-2,汽车工程学院,
2008901,2008机电-1（5）,汽车工程学院,
2008902,2008机电-2（5）,汽车工程学院,
2008903,2008通信技术-3（5）,汽车工程学院,
2008905,2008检测与维修-5（5）,汽车工程学院,
2004241,2004241,自动化工程学院,
2004242,2004242,自动化工程学院,
2004243,2004243,自动化工程学院,
2004244,2004244,自动化工程学院,
2004251,2004251,自动化工程学院,
2004252,2004252,自动化工程学院,
2004261,2004261,自动化工程学院,
2004262,2004262,自动化工程学院,
2004231,2004231,自动化工程学院,
2004232,2004232,自动化工程学院,
2004233,2004233,自动化工程学院,
2004234,2004234,自动化工程学院,
20090001,09机电技术1,自动化工程学院,
20090002,09智能楼宇1,自动化工程学院,
20090003,09智能楼宇2,自动化工程学院,
20090005,09轨道交通1,自动化工程学院,
20090006,09生物技术1,生物工程学院,
20090007,09生物技术2,生物工程学院,
2008502,08机电(5),自动化工程学院,
2008551,08网络(5)1,电信工程学院,
2008552,08网络(5)2,电信工程学院,
2008553,08通信(5)1,电信工程学院,
2008554,08通信(5)2,电信工程学院,
Z200404,中04升学南,电信工程学院,
ZD03002,中 升学2班,电信工程学院,
ZD03003,中 升学3班,电信工程学院,
ZD03004,中 升学4班,电信工程学院,
ZD03005,中 升学5班,电信工程学院,
ZD03007,中 升学7班,电信工程学院,
ZD4031,中04陕西班,电信工程学院,
2006104,工美0601,艺术设计学院,
2006105,国商0601,艺术设计学院,
2006106,模具0601,机械工程学院,
2006107,数控0601,机械工程学院,
2005103,200501数控,机械工程学院,
2005104,200501网络,艺术设计学院,
2005106,200501造型,艺术设计学院,
2005108,200502模具,机械工程学院,
2005109,200502数控,机械工程学院,
2005110,2005多媒体,艺术设计学院,
2006101,电商0601,艺术设计学院,
2006102,多媒体0601,艺术设计学院,
2006103,服装0601,艺术设计学院,
2006108,网络0601,艺术设计学院,
2006109,微机0601,艺术设计学院,
2006110,服装大同06,艺术设计学院,
2006111,工美0602,艺术设计学院,
2006112,模具0602,机械工程学院,
20080055,08手机应用1,电信工程学院,
2004020,04商贸英语1,经济管理学院,
2004029,04广告设计2,艺术设计学院,
2005028,05环艺(2年),艺术设计学院,
2006003,06智能楼宇2,自动化工程学院,
2006013,06国际商务,经济管理学院,
2006026,06钢琴调律,艺术设计学院,
2004004,04机电技术2,自动化工程学院,
2005006,05智能楼宇2,自动化工程学院,
2006002,06智能楼宇1,自动化工程学院,
2006012,06康体管理,经济管理学院,
20080003,08智能楼宇2,自动化工程学院,
20080005,08工程监理2,自动化工程学院,
20080006,08生物技术1,生物工程学院,
20080009,08食品检测,生物工程学院,
20080010,08金融保险1,经济管理学院,
20080011,08金融保险2,经济管理学院,
20080013,08电子商务,经济管理学院,
20080014,08国际商务,经济管理学院,
20080016,08英语导游,经济管理学院,
20080018,08会计,经济管理学院,
20080019,08物业管理,经济管理学院,
20080023,08媒体艺术1,艺术设计学院,
20080026,08广告设计2,艺术设计学院,
20080051,08网络技术1,电信工程学院,
20080052,08网络技术2,电信工程学院,
20080053,08软件技术1,电信工程学院,
20080057,08电子技术,电信工程学院,
20080058,08媒体技术,电信工程学院,
20080059,08电信,电信工程学院,
20080060,08通信技术1,电信工程学院,
20080062,08通信技术3,电信工程学院,
2006053,06软件技术1,电信工程学院,
2007002,07智能楼宇1,自动化工程学院,
2007004,07楼宇监理,自动化工程学院,
2007007,07生物技术,生物工程学院,
2007008,07金融保险,经济管理学院,
2007009,07资产评估,经济管理学院,
2007011,07国际商务,经济管理学院,
2007013,07英语导游1,经济管理学院,
2007016,07会计,经济管理学院,
2007017,07市场营销,经济管理学院,
2007019,07物业(2年),经济管理学院,
20080054,08软件技术2,电信工程学院,
2007061,07广播电视,电信工程学院,
2006056,06手机应用2,电信工程学院,
ZD04002,中网0402,电信工程学院,
ZD04010,中电0410,电信工程学院,
2004027,04钢琴调律,艺术设计学院,
2007024,07形象设计,艺术设计学院,
2005026,05形象设计,艺术设计学院,
2007020,07电脑艺术1,艺术设计学院,
2007023,07媒体设计,艺术设计学院,
2007027,07环艺(2年),艺术设计学院,
2007052,07网络技术2,电信工程学院,
2007053,07软件技术,电信工程学院,
2007054,07手机应用1,电信工程学院,
2007059,07通信技术,电信工程学院,
2007060,07移动通信,电信工程学院,
W2007503,07机电(5)1,自动化工程学院,
W2007504,07机电(5)2,自动化工程学院,
W2007555,07电子(5),电信工程学院,
W2007551,07计算机(5)1,电信工程学院,
W2007552,07计算机(5)2,电信工程学院,
W2007556,07电信(5),电信工程学院,
W2007557,07通信(5)1,电信工程学院,
W2007558,07通信(5)2,电信工程学院,
20080015,08商务英语,经济管理学院,
2004003,04机电技术1,自动化工程学院,
2004007,04智能建筑2,自动化工程学院,
2004008,04环境监测,生物工程学院,
2004012,04金融保险1,经济管理学院,
2004013,04金融保险2,经济管理学院,
2004015,04工商管理2,经济管理学院,
2004017,04资产评估2,经济管理学院,
2004021,04商贸英语2,经济管理学院,
2004022,04英语导游,经济管理学院,
2004023,04电美,艺术设计学院,
2004026,04形象设计,艺术设计学院,
2005002,05软件技术,电信工程学院,
2005003,05机电技术,自动化工程学院,
2005005,05智能楼宇1,自动化工程学院,
2005008,05生物技术,生物工程学院,
2005013,05康体管理,经济管理学院,
2005015,05国际商务2,经济管理学院,
2005016,05商务英语1,经济管理学院,
2005019,05法语导游,经济管理学院,
2005022,05物业(2年),经济管理学院,
2005023,05电脑艺术,艺术设计学院,
2005025,05媒体设计,艺术设计学院,
2005051,05信息技术2,电信工程学院,
2005052,05电信1,电信工程学院,
2005054,05电信3,电信工程学院,
2005056,05网络技术3,电信工程学院,
2006001,06机电技术,自动化工程学院,
2006009,06工商管理,经济管理学院,
2006010,06资产评估,经济管理学院,
2006011,06电子商务,经济管理学院,
2006014,06商务英语,经济管理学院,
2006017,06文秘,经济管理学院,
2006022,06广告设计1,艺术设计学院,
2006028,06环艺(2年),艺术设计学院,
2006052,06网络技术2,电信工程学院,
2006059,06信息技术,电信工程学院,
2006060,06电信,电信工程学院,
W200405,04生物(5)2,生物工程学院,
20080027,08广告设计3,艺术设计学院,
20080028,08媒体艺术3,艺术设计学院,
W200511,05生物(5)1,生物工程学院,
W200513,05计算机(5)1,电信工程学院,
W200514,05计算机(5)2,电信工程学院,
W200606,06电信(5)1,电信工程学院,
W200605,06网络(5)2,电信工程学院,
Z200301,中03生物,生物工程学院,
Z200302,中03机电1,自动化工程学院,
Z200303,中03机电2,自动化工程学院,
Z200305,中03自控1,自动化工程学院,
Z200306,中03自控2,自动化工程学院,
Z200501,中05自控南,自动化工程学院,
Z200502,中05金融南,经济管理学院,
Z200601,中06网络南,电信工程学院,
2006061,06通信技术1,电信工程学院,
ZD04001,中网0401,电信工程学院,
ZD04004,中网0404,电信工程学院,
ZD04005,中网0405,电信工程学院,
ZD04006,中计0406,电信工程学院,
ZD04008,中计0408,电信工程学院,
ZD04009,中计0409,电信工程学院,
ZD04011,中电0411,电信工程学院,
ZD04013,中电0413,电信工程学院,
ZD04014,中商0414,经济管理学院,
2006062,06通信技术2,电信工程学院,
2006023,06广告设计2,艺术设计学院,
2005020,05文秘,经济管理学院,
2004018,04电子商务,经济管理学院,
20080008,08环境监测,生物工程学院,
20080012,08资产评估,经济管理学院,
20080017,08文秘,经济管理学院,
20080020,08钢琴调律,艺术设计学院,
2007021,07电脑艺术2,艺术设计学院,
2007022,07广告设计,艺术设计学院,
2007056,07电子技术,电信工程学院,
W2007553,07网络(5)1,电信工程学院,
2004010,04生物技术2,生物工程学院,
2004025,04环境艺术,艺术设计学院,
2005011,05资产评估,经济管理学院,
2005024,05广告设计,艺术设计学院,
2006005,06汽车电子,自动化工程学院,
2006016,06法语导游,经济管理学院,
2006055,06手机应用1,电信工程学院,
W200603,06生物(5)2,生物工程学院,
Z200403,中04文秘南,经济管理学院,
ZD04003,中网0403,电信工程学院,
ZD04012,中电0412,电信工程学院,
2006027,06环艺设计,艺术设计学院,
2007006,07环境监测,生物工程学院,
2004014,04工商管理1,经济管理学院,
2006024,06媒体设计,艺术设计学院,
Z200401,中04网络南,电信工程学院,
2007058,07电信,电信工程学院,
2004016,04资产评估1,经济管理学院,
20080001,08机电技术,自动化工程学院,
20080025,08广告设计1,艺术设计学院,
20080061,08通信技术2,电信工程学院,
